Poll	Date	Sample	MoE	Obama (D)	McCain (R)	Spread
Final Results	--	--	--	54.5	44.2	Obama +10.3
RCP Average	10/27 - 11/3	--	--	51.0	43.7	Obama +7.3
SurveyUSA	10/31 - 11/3	657 LV	3.9	52	43	Obama +9
Reuters/Zogby	10/31 - 11/3	682 LV	4.1	51	41	Obama +10
Rasmussen	11/1 - 11/1	700 LV	4.0	52	46	Obama +6
Strategic Vision (R)	10/31 - 11/2	1200 LV	3.0	51	44	Obama +7
PPP (D)	10/31 - 11/2	1529 LV	2.5	53	45	Obama +8
Morning Call	10/29 - 11/2	617 LV	4.0	52	46	Obama +6
SurveyUSA	10/29 - 10/31	700 LV	3.8	51	44	Obama +7
ARG	10/29 - 10/31	600 LV	4.0	51	45	Obama +6
Quinnipiac	10/27 - 11/2	1493 LV	2.5	52	42	Obama +10
Strategic Vision (R)	10/27 - 10/29	1200 LV	3.0	49	44	Obama +5
NBC/Mason-Dixon	10/27 - 10/28	625 LV	4.0	47	43	Obama +4
Rasmussen	10/27 - 10/27	500 LV	4.5	53	46	Obama +7
Marist	10/26 - 10/27	713 LV	4.0	55	41	Obama +14
InAdv/PollPosition	10/26 - 10/26	588 LV	3.8	51	42	Obama +9
CNN/Time	10/23 - 10/28	768 LV	3.5	55	43	Obama +12
Quinnipiac	10/22 - 10/26	1364 LV	2.7	53	41	Obama +12
Associated Press/GfK	10/22 - 10/26	607 LV	4.0	52	40	Obama +12
Franklin & Marshall	10/21 - 10/26	LV	4.2	53	40	Obama +13
Temple Univ.	10/20 - 10/26	761 LV	3.6	50	41	Obama +9
SurveyUSA	10/21 - 10/22	620 LV	4.0	53	41	Obama +12
Morning Call	10/19 - 10/23	608 LV	4.0	52	40	Obama +12
Strategic Vision (R)	10/20 - 10/22	1200 LV	3.0	50	43	Obama +7
Big10 Battleground	10/19 - 10/22	566 LV	4.2	52	41	Obama +11
Quinnipiac	10/16 - 10/21	1425 LV	2.6	53	40	Obama +13
Morning Call	10/16 - 10/20	600 LV	4.0	53	41	Obama +12
National Journal/FD	10/16 - 10/20	412 RV	4.9	51	41	Obama +10
Susquehanna	10/16 - 10/18	700 LV	3.7	48	40	Obama +8
SurveyUSA	10/11 - 10/13	516 LV	4.4	55	40	Obama +15
Morning Call	10/10 - 10/14	584 LV	4.0	52	38	Obama +14
Marist	10/5 - 10/8	757 LV	3.5	53	41	Obama +12
Strategic Vision (R)	10/5 - 10/7	1200 LV	3.0	54	40	Obama +14
Rasmussen	10/6 - 10/6	700 LV	4.0	54	41	Obama +13
SurveyUSA	10/5 - 10/6	653 LV	3.9	55	40	Obama +15
Morning Call	9/26 - 9/30	598 LV	4.0	48	41	Obama +7
Quinnipiac	9/27 - 9/29	832 LV	3.4	54	39	Obama +15
FOX News/Rasmussen	9/28 - 9/28	500 LV	4.5	50	42	Obama +8
Franklin & Marshall	9/23 - 9/28	767 RV	3.5	45	38	Obama +7
Morning Call	9/21 - 9/25	577 LV	4.5	47	43	Obama +4
